2016-02-12T00:00:00Z,Transcript of the Democratic Presidential Debate in Milwaukee,By THE EDITORIAL BOARD,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service."
2016-02-11T06:02:49Z,"Clinton and Sanders Battle in Debate Over Healthcare, Wall Street Ties",By REUTERS,"Democratic presidential candidates Hillary Clinton and Bernie Sanders battled over healthcare and Wall Street in a debate on Thursday, with Clinton accusing Sanders of misleading Americans on his healthcare plan and making promises ""that cannot be kept."""
2016-02-11T00:00:00Z,"Before Donald Trump, There Was Jan Brewer",By JOSH BARRO,The former Arizona governor showed that G.O.P. voters could be drawn to a tough immigration stance and moderation on taxes and spending.
2016-02-10T14:18:39Z,"Ryan, Republicans Grapple With Alternative to Obama Budget",By THE ASSOCIATED PRESS,Meet the new boss. Confronting the same tea party challenges as the old boss.
2016-02-10T00:00:00Z,What About Ted Cruz?,By THOMAS B. EDSALL,The prospect of a general election between candidates whom leaders and strategists in both parties see as losers is more than an idle fantasy.
2016-02-09T18:55:57Z,Sununu &#038; Son: A Play for Primary Day,By LAWRENCE DOWNES,
2016-02-09T12:15:40Z,John Kasich’s Listening Tour,By ELIZABETH WILLIAMSON,
2016-02-09T04:16:31Z,Obama Unveils Record $4.1 Trillion Election-Year Budget,By THE ASSOCIATED PRESS,"President Barack Obama on Tuesday unveiled a record $4.1 trillion, election-year budget that finances Democratic priorities like education, health care and climate change with new taxes on crude oil, the wealthy and big banks."
2016-02-09T03:21:15Z,Staying Sober After Treatment Ends,By TINA ROSENBERG,
2016-02-09T00:01:30Z,Gov't Report: 8 States Had Significant Drop in Uninsured,By THE ASSOCIATED PRESS,"Eight states saw a significant drop last year in the number of residents going without health insurance, according to a government report out Tuesday that has implications for the presidential campaign."
2016-02-09T00:00:00Z,I Miss Barack Obama,By DAVID BROOKS,This campaign is highlighting some of the president’s better traits.
2016-02-08T12:18:40Z,Marco Rubio’s Lighter Side,By ANNA NORTH,
2016-02-08T06:34:46Z,Cognizant Forecasts Slowest Revenue Growth in 14 Years,By REUTERS,"IT services provider Cognizant Technology Solutions Corp forecast its slowest quarterly revenue growth in 14 years, adding to mounting worries about clients keeping a tight lid on technology spending."
2016-02-08T00:00:00Z,The Time-Loop Party,By PAUL KRUGMAN,"Republican candidates keep repeating their canned policy statements, despite evidence that these prescriptions have failed in the real world."
2016-02-08T00:00:00Z,"Marlow W. Cook, Senator Who Groomed Mitch McConnell, Dies at 89",By WILLIAM GRIMES,"Mr. Cook, a moderate Republican from Kentucky, made Mr. McConnell his assistant in Washington but later criticized him for moving sharply to the right."
2016-02-07T01:21:19Z,"Rubio Falters in Presidential Debate, Offering Hope to Rivals",By REUTERS,"Republican White House contender Marco Rubio struggled at a debate on Saturday at the worst possible time, potentially confounding his bid to emerge as Donald Trump's chief rival in New Hampshire and giving hope to three rivals desperate for a strong showing.  "
2016-02-07T00:00:00Z,Transcript of the Republican Presidential Debate,By REUTERS,"Following is a transcript of the Republican debate, as transcribed by the Federal News Service."
2016-02-06T22:20:03Z,"AP FACT CHECK: Skewed GOP Claims on Taxes, Health Insurance",By THE ASSOCIATED PRESS,"Viewers of the latest Republican presidential debate didn't get a straight story from the candidates on U.S. taxes vs. the world, the state of the health insurance marketplace under ""Obamacare"" or what might happen if that law is taken away."
2016-02-06T10:44:01Z,The Latest: GOP Candidates Offer Closing Arguments to NH,By THE ASSOCIATED PRESS,"The Latest on the race for president, with candidates focusing on New Hampshire, which holds the first primary in the 2016 race on Tuesday (all times local):"
2016-02-06T06:05:11Z,Rubio Comes Under Heavy Fire at Republican Presidential Debate,By REUTERS,Rising Republican contender Marco Rubio came under heavy attack in a presidential debate on Saturday from rivals who accused him of being too inexperienced for the White House and walking away from an immigration reform plan he championed.
2016-02-06T00:00:00Z,"Hillary Clinton Lobbied on Health Care as Secretary of State, Emails Show",By DAVID M. HERSZENHORN,"In 2009, as President Obama’s Affordable Care Act reached a crucial phase, his top diplomat pressed members of Congress and was keenly interested in the bill."
2016-02-05T12:11:19Z,Remembrance of Forecasts Past,By PAUL KRUGMAN,
2016-02-05T01:45:06Z,"In Contentious Debate, Clinton and Sanders Both Claim 'Progressive' Mantle",By REUTERS,"Democrat Hillary Clinton went on the attack against rival Bernie Sanders on Thursday in their most contentious presidential debate yet, questioning whether his ambitious proposals were viable and accusing him of an ""artful smear"" in suggesting she could be bought by political donations."
2016-02-05T00:57:01Z,"In Contentious Debate, Clinton and Sanders Both Claim 'Progressive' Mantle",By REUTERS,"Democrat Hillary Clinton went on the attack against rival Bernie Sanders on Thursday in their most contentious presidential debate yet, questioning whether his ambitious proposals were viable and accusing him of an ""artful smear"" in suggesting she could be bought by political donations."
2016-02-05T00:00:00Z,Who Hates Obamacare?,By PAUL KRUGMAN,Left-wing attacks on an imperfect program could undermine progressives’ interests.
2016-02-05T00:00:00Z,Transcript of the Democratic Presidential Debate,By PAUL KRUGMAN,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service."
2016-02-04T15:34:18Z,U.S. Signs Up 12.7 Million Americans for Obamacare Health Insurance,By REUTERS,"About 12.7 million Americans signed up for 2016 health insurance coverage through the government insurance exchanges, surpassing its expectations, U.S. Health and Human Services Secretary Sylvia Burwell said on Thursday."
2016-02-04T15:12:38Z,Obama Health Care Law Posts Respectable Sign-Up Season,By THE ASSOCIATED PRESS,"Still facing political jeopardy, President Barack Obama's health care law beat expectations by earning solid sign-ups this year, according to figures released Thursday by the administration."
2016-02-04T11:19:02Z,Clinton Goes on Attack Against Sanders in Combative Presidential Debate,By REUTERS,"Democrat Hillary Clinton went on the attack against rival Bernie Sanders on Thursday in their most contentious presidential debate yet, questioning whether his ambitious proposals were viable and saying it was unfair to question her liberal credentials."
2016-02-04T05:43:46Z,10 Things to Know for Friday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Friday:"
2016-02-04T05:43:16Z,Kentucky Tops Coverage Gains as GOP Looks to Remake Medicaid,By THE ASSOCIATED PRESS,"As Gov. Matt Bevin prepares to remake Kentucky's Medicaid program, a new national survey shows what's at stake: gains in insurance coverage matched only by one other state."
2016-02-04T00:00:00Z,"And Now, the Marco Memo",By GAIL COLLINS,He’s still giving much the same speech but not the same stances.
2016-02-03T20:58:16Z,Obama Budget to Adjust Health Insurance 'Cadillac Tax': Adviser,By REUTERS,"President Barack Obama will propose tailoring the controversial ""Cadillac tax"" on expensive private health insurance plans to reflect regional differences when he releases his 2017 budget plan next week, a senior White House adviser said in an article released on Wednesday."
2016-02-03T13:18:29Z,"Half A Loaf, Financial Reform Edition",By PAUL KRUGMAN,
2016-02-03T11:09:53Z,Trump Accuses Cruz of Stealing Iowa Caucuses Through 'Fraud',By REUTERS,Republican presidential candidate Donald Trump on Wednesday accused rival Ted Cruz of stealing a victory in the Iowa caucuses and called for another vote or nullification of Cruz's win.
2016-02-03T10:47:41Z,"Ryan Calls for Unity, Less Anger From His Fractious GOP",By THE ASSOCIATED PRESS,House Speaker Paul Ryan called on Republicans Wednesday to unify and stop fighting each other as he tried steering his fractious party into an election year devoid of the collisions between conservatives and pragmatists that transformed parts of 2015 into a GOP nightmare.
2016-02-03T09:59:34Z,"The Latest: Sanders, Clinton Continue 'Progressive' Spat",By THE ASSOCIATED PRESS,The Latest from presidential contenders on the campaign trail (all times local):
2016-02-02T18:20:14Z,House Fails to Knock Down Obama Veto of Anti-Obamacare Bill,By REUTERS,"The U.S. House of Representatives on Tuesday failed to override President Barack Obama's veto of legislation that would have dismantled his signature healthcare law, the Affordable Care Act."
2016-02-02T12:50:59Z,House GOP Fails Anew to Repeal Obama's Health Care Law,By THE ASSOCIATED PRESS,"Republicans failed in their latest futile attempt Tuesday to kill President Barack Obama's health care overhaul, a Groundhog Day vote by the House that was solely an exercise in election-year political messaging."
2016-02-02T03:40:48Z,AP News Guide: Cruz Wins Iowa; Dem Race Up in Air,By THE ASSOCIATED PRESS,"The opening contest of the 2016 presidential election delivered an Iowa victory to hard-charging conservative Ted Cruz, humble pie to Donald Trump and a night of bristling suspense in a too-close-to-call contest between Democrats Hillary Clinton and Bernie Sanders."
2016-02-02T01:45:33Z,Marco Rubio Emerges as Champion of Battered Republican Establishment,By REUTERS,"Texas Senator Ted Cruz was victorious in the first Republican nomination contest of the 2016 White House race, but there was another big winner in Iowa on Monday night: Florida Senator Marco Rubio and the Republican establishment. "
2016-02-02T00:00:00Z,Making Choices in Iowa,By THE EDITORIAL BOARD,"Following a year of venting and anger, voters can only hope that the presidential campaign will now move toward issues and ideas."
2016-02-01T13:54:49Z,Cruz Wins in Iowa's Republican Caucuses,By THE ASSOCIATED PRESS,"Ted Cruz, the self-proclaimed outsider and tea party champion, was warmly embraced by conservative Iowa Republicans, whose historic turnout sealed his victory in the Iowa caucuses Monday."
2016-02-01T12:30:42Z,Voter Who Confronted Ted Cruz on Obamacare Said He&#8217;s Surprised by the Attention,By STEVE EDER,
2016-02-01T03:34:09Z,White House Brief: Things to Know About Ted Cruz,By THE ASSOCIATED PRESS,"Texas Sen. Ted Cruz tries to position himself as the only consistent conservative in the race for president, railing against the ""Washington cartel"" while pushing a conservative agenda that appeals to the tea party and evangelical wings of the Republican Party. Here's a quick snapshot of things to know about him."
2016-02-01T00:00:00Z,What Is Marco Rubio After in Iowa?,By ROBERT DRAPER,How the Florida senator’s campaign is hoping to make the best of a likely third-place showing in the state’s caucus.
2016-01-31T23:01:33Z,AP News Guide: Iowans Give Cruz 1st Win of 2016 Election,By THE ASSOCIATED PRESS,"Ted Cruz, a hard-driving conservative, defeated national front-runner Donald Trump in a fierce struggle for supremacy in the Iowa Republican caucuses Monday while Hillary Clinton and Bernie Sanders battled far into the night over who will claim the first prize in the Democratic presidential contest."
2016-01-31T00:00:00Z,"Trump, Sanders and the Revolt Against Decadence",By ROSS DOUTHAT,"Donald Trump and Bernie Sanders, in very different ways, are telling us we don’t have to settle for things as they are."
2016-01-31T00:00:00Z,A Chance to Reset the Republican Race,By THE EDITORIAL BOARD,Gov. John Kasich is the only plausible choice for Republicans tired of the extremist front-runners in the primary contest.
2016-01-31T00:00:00Z,Ted Cruz’s Evangelical Gamble,By ROBERT DRAPER,The candidate’s strategy to win the White House depends on turning out millions of new religious voters.
2016-01-30T11:50:17Z,"Now Deeply Christian, Cruz's Religion Once Wasn't So Obvious",By THE ASSOCIATED PRESS,"Ted Cruz sometimes sounds more like a preacher than a presidential candidate, praising the transformative love of Jesus Christ and promising to defend religious liberty. But the Texas senator rarely evokes the biblical tenet of tithing, the mandate that 10 percent of possessions be donated to God."
2016-01-30T10:41:23Z,A Cruz-Rubio Feud Flares in Iowa Closer,By THE ASSOCIATED PRESS,"As if hearing Marco Rubio's footsteps creeping up on him, Ted Cruz directed much of his final advertising against the Florida senator in the frenzied weekend prelude to the Iowa caucuses, feeding a Republican feud that turned increasingly bitter before voters have their first say in the 2016 presidential race."
2016-01-29T13:07:26Z,The Perils of Political Dads,By ANNA NORTH,
2016-01-29T05:32:17Z,White House Brief: Things to Know About Ted Cruz,By THE ASSOCIATED PRESS,"Texas Sen. Ted Cruz tries to position himself as the only consistent conservative in the race for president, railing against the ""Washington cartel"" while pushing a conservative agenda that appeals to the tea party and evangelical wings of the Republican Party. Here's a quick snapshot of things to know about him."
2016-01-29T03:26:24Z,"AP FACT CHECK: GOP Claims on Health Plans, China, Economy",By THE ASSOCIATED PRESS,"Ted Cruz spoke of millions losing health coverage &#8212; but more than 16 million people have gained it, shrinking the pool of uninsured like never before. Donald Trump laid roughly the entire U.S. trade deficit at the feet of China, botching the numbers. Chris Christie overlooked pay gains for construction workers in a lunch-pail tale meant to slam President Barack Obama."
2016-01-29T00:00:00Z,Transcript of the Main Republican Presidential Debate,By THE NEW YORK TIMES,"Following is a transcript of the main Republican debate, as transcribed by the Federal News Service."
2016-01-29T00:00:00Z,Transcript of the Preliminary G.O.P. Presidential Debate,By THE NEW YORK TIMES,"Following is a transcript of the Republican “undercard” debate held Thursday in Des Moines, as recorded by the Federal News Service."
2016-01-28T22:15:22Z,"AP FACT CHECK: GOP Claims on Carpet Bombs, Kurds and Economy",By THE ASSOCIATED PRESS,"Republican presidential contenders let fly with some inaccuracies when they badmouthed the Obama administration on health care, military readiness and pay for construction workers in their latest debate."
2016-01-28T00:00:00Z,Deconstructing Hillary and Bernie,By GAIL COLLINS,Let’s look at how the two Democratic candidates — Martin who? — differ.
2016-01-28T00:00:00Z,Oklahoma Resists Push for Enrollment in Affordable Care Act Coverage,By ROBERT PEAR,"Supporters of the law regularly encounter stony skepticism in the state: “Obamacare is toxic,” said Craig W. Jones of the Oklahoma Hospital Association."
2016-01-27T06:11:49Z,Health Insurer Anthem Says Obamacare Costs Drag Down Fourth-Quarter Profit,By REUTERS,"Health insurer Anthem Inc, which is in the process of buying smaller rival Cigna Corp, said on Wednesday its individual Obamacare exchange health plans weighed on fourth-quarter profit, causing it to miss analysts' expectations."
2016-01-26T14:12:39Z,The Anti-Fiscal Bubble,By PAUL KRUGMAN,
2016-01-26T10:16:41Z,Democratic Mayor to Challenge GOP's Rand Paul in Senate Race,By THE ASSOCIATED PRESS,"Lexington Mayor Jim Gray filed to run for Rand Paul's U.S. Senate seat on Tuesday, giving Paul a viable challenger and complicating his bid for re-election as he lags in the polls in his presidential campaign."
2016-01-26T00:00:00Z,Budget Office Lowers Its Forecast for Obamacare Enrollment,By MARGOT SANGER-KATZ,"Two years in, it’s clear that progress in reducing the rate of the uninsured is going to be slower than proponents hoped. But the news isn’t all bad."
2016-01-25T00:00:00Z,Hillary Clinton Stumbles,By CHARLES M. BLOW,"Although Bernie Sanders has electability issues, the Clinton campaign has made mistakes that give him a better chance at the nomination."
2016-01-24T00:00:00Z,A Day of Endorsements for Presidential Candidates in Iowa,By TRIP GABRIEL,The Des Moines Register backed Senator Marco Rubio of Florida for the Republicans; and Hillary Clinton for the Democrats. And Senator Charles E. Grassley shared a stage with Donald J. Trump.
2016-01-24T00:00:00Z,"Facts, Fairness, and the Election­",By MARGARET SULLIVAN,"As voters prepare to cast their first ballots, a look at how The Times is covering the race."
2016-01-23T16:16:39Z,"&#8216;Hillarycare&#8217; Failed, but Hillary Clinton Reminds Voters She Tried",By AMY CHOZICK,
2016-01-23T09:01:00Z,Wonks and Minions,By PAUL KRUGMAN,
2016-01-23T00:00:00Z,Group Backing Jeb Bush Draws on ‘Jeopardy’ to Attack John Kasich,By NICK CORASANITI,"Right to Rise, the “super PAC” supporting Mr. Bush, uses Mr. Kasich’s record as a governor and congressman from Ohio to paint him as out of step with New Hampshire values."
2016-01-22T00:00:00Z,The Republicans’ Downward Spiral,By NICK CORASANITI,A reader writes that the potential self-destruction of the party is not accidental.
2016-01-20T18:38:44Z,House GOP Subpoenas Treasury's Lew on 'Obamacare' Papers,By THE ASSOCIATED PRESS,"Two top House Republicans have subpoenaed Treasury Secretary Jacob Lew, seeking documents involving payments to insurance companies to lower out-of-pocket costs for some people enrolled under the Affordable Care Act."
2016-01-20T12:50:50Z,GOP Candidate Kasich Addresses NH House Ahead of Primary,By THE ASSOCIATED PRESS,Ohio Gov. John Kasich praised the New Hampshire Legislature on Wednesday for expanding Medicaid under the president's health care overhaul law &#8212; a rare move for GOP presidential contender &#8212; saying that the decision saved lives.
2016-01-20T00:00:00Z,How Much Should a University Have to Reveal About a Sexual-Assault Case?,By JON KRAKAUER,I sued the University of Montana to find out — and the implications of the case reach far beyond the state.
2016-01-20T00:00:00Z,The Price of Republican Orthodoxy,By THOMAS B. EDSALL,"In many ways, the party’s strategy of resistance to all things Democratic has backfired."
2016-01-20T00:00:00Z,"For Now, Bernie Sanders’s Health Plan Is More of a Tax Plan",By MARGOT SANGER-KATZ,"A single-payer program is short on the complex details of how it would work in real life, except for how it would be funded."
2016-01-19T19:01:30Z,"Louisiana Governor Urges Tax Hike, Tapping Reserves to Fix Budget Gap",By REUTERS,Louisiana Governor John Bel Edwards on Tuesday urged state legislators to approve a plan to increase taxes and tap reserves to plug the largest budget shortfall in state history.
2016-01-19T14:45:48Z,Iowa Governor Calls for Anti-Cruz Vote on Ethanol Issue,By THE ASSOCIATED PRESS,"Republican presidential hopeful Ted Cruz received an anti-endorsement from the governor of Iowa, Tuesday, host of the country's lead-off presidential caucus, on account of his failure to support renewable fuels like ethanol."
2016-01-19T11:05:16Z,Gov't Report: Budget Deficit to Rise to $544B This Year,By THE ASSOCIATED PRESS,"A government report released Tuesday estimates that this year's budget deficit will rise to $544 billion, an increase over prior estimates that can be attributed largely to tax cuts and spending increases passed by Congress last month. The deficit and debt picture over the long-term has also worsened considerably."
2016-01-19T09:59:33Z,U.S. Top Court Rejects New Challenge to Obamacare,By REUTERS,"The U.S. Supreme Court, which delivered major rulings in 2012 and 2015 preserving President Barack Obama's signature healthcare law, on Tuesday declined to take up a new, long-shot challenge to Obamacare brought by an Iowa artist."
2016-01-19T09:40:27Z,U.S. Supreme Court to Decide Major Case on Obama Immigration Plan,By REUTERS,"The U.S. Supreme Court on Tuesday paved the way for a major ruling on the limits of presidential powers, agreeing to decide the legality of President Barack Obama's unilateral action to shield more than 4 million illegal immigrants from deportation."
2016-01-19T00:00:00Z,Just Saying Yes to the Politics of Drugs,By EMMA ROLLER,"As overdose rates rise, candidates are opening up about the spread of addiction, hoping to connect with voters."
2016-01-18T12:51:13Z,"Facing Primary Fight From Sanders, Clinton Embraces Obama",By THE ASSOCIATED PRESS,"Facing fresh campaign anxieties, Hillary Clinton is attaching herself to President Barack Obama, hoping to overcome liberal enthusiasm for Vermont Sen. Bernie Sanders with a full-throated embrace of her one-time rival and boss."
2016-01-18T03:31:40Z,AP FACT CHECK: Gunslingers on Amtrak Trains?,By THE ASSOCIATED PRESS,Hillary Clinton bungled statistics when giving President Barack Obama's health care law credit for driving down the nation's health costs and picked through her rival's gun control record for just the parts that make him look like a buddy of the gun lobby.
2016-01-18T02:12:58Z,Clinton's Embrace of Obama Holds Risks for General Election Matchup,By REUTERS,"Hillary Clinton has distanced herself from President Barack Obama on a number of high-profile issues since starting her bid for the White House. Now, under pressure from left-leaning challenger Bernie Sanders, she is embracing him and his legacy with fervor."
2016-01-18T00:40:57Z,Sanders Lashes Out at Clinton in Contentious Democratic Debate,By REUTERS,"Democratic White House candidate Bernie Sanders went on the offensive against front-runner Hillary Clinton on Sunday in the most contentious of their four presidential debates, accusing her of cozying up to Wall Street and misrepresenting his stance on healthcare and guns."
2016-01-18T00:00:00Z,Health Reform Realities,By PAUL KRUGMAN,Should progressives re-litigate Obamacare? There are many reasons to think that it just wouldn’t work.
2016-01-18T00:00:00Z,"Hillary Clinton Turns, Repeatedly, to a Democrat Not on the Debate Stage: Obama",By JONATHAN MARTIN,"Seeking to stabilize her campaign, Mrs. Clinton linked herself repeatedly to the president in the Democratic debate."
2016-01-18T00:00:00Z,Transcript of the Democratic Presidential Debate,By JONATHAN MARTIN,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service."
2016-01-17T22:34:21Z,My Take on the Democratic Presidential Debate,By NICHOLAS KRISTOF,
2016-01-17T22:28:57Z,AP FACT CHECK: Democratic Debaters and the Facts,By THE ASSOCIATED PRESS,Bernie Sanders airbrushed the complexities of trying to overhaul health care all over again and Hillary Clinton offered a selective reading of her rival's record on gun control in the latest Democratic presidential debate.
2016-01-17T19:38:03Z,Sanders Releases Universal Healthcare Plan Before Democratic Debate,By REUTERS,"U.S. Democratic presidential candidate Bernie Sanders released details on Sunday evening about his ""Medicare-for-all"" universal healthcare funding plan and how he would pay for it."
2016-01-17T17:48:08Z,"Race Tightens: Clinton, Sanders Clash on Guns, Health Care",By THE ASSOCIATED PRESS,"Turning up the temperature, Hillary Clinton and Bernie Sanders tangled repeatedly in Sunday night's presidential debate over who's tougher on gun control and Wall Street and how to steer the future of health care in America. It was the last Democratic matchup before voting begins in two weeks, and both sides were eager to rumble as polls showed the race tightening in the leadoff states of Iowa and New Hampshire."
2016-01-17T01:11:41Z,Sanders Lashes Out at Clinton in Last Democratic Debate Before Iowa Contest,By REUTERS,"Democratic White House contender Bernie Sanders put front-runner Hillary Clinton on the defensive at a debate on Sunday, criticizing her for accepting speaking fees from Wall Street investors and sparring with her over healthcare."
2016-01-16T13:48:45Z,"U.S. Republicans Laud Iran Prisoner Release, Attack Obama Strategy",By REUTERS,"U.S. Republican presidential candidates on Saturday praised the release of five Americans held in Iran, but said the Obama administration had conceded too much to win their freedom."
2016-01-16T12:43:33Z,TINA and the ACA,By PAUL KRUGMAN,
2016-01-16T02:55:56Z,Hillary Clinton Campaign Deploys Husband Bill Very Carefully,By THE ASSOCIATED PRESS,"Bill Clinton promised voters in 1992 that they'd be getting ""two for the price of one"" if they elected him to the White House &#8212; a presidential duo of the young Arkansas governor and his Yale Law-educated wife."
2016-01-16T00:00:00Z,"Hillary and Bernie, Punching",By GAIL COLLINS,"The Democrats may have strayed off the high road, but they’re a long way from Trump-Cruz territory."
2016-01-15T08:18:28Z,Neil Cavuto and the Dynamics of Misinformation,By PAUL KRUGMAN,
2016-01-15T01:18:16Z,U.S. Justices Take No Action on Obama Immigration Case,By REUTERS,"The U.S. Supreme Court on Friday took no immediate action on whether it will hear President Barack Obama's bid to revive his plan to shield more than 4 million immigrants from deportation, a move that bypassed the Republican-led Congress."
2016-01-15T00:00:00Z,Transcript of Republican Presidential Debate,By REUTERS,"The candidates, in their own heated words as recorded by the Federal News Service, sparring on ISIS and Iran, the economy and each other."
2016-01-14T01:19:12Z,"Obama Says Will Focus on Criminal Justice Reform, Cancer Research",By REUTERS,"President Barack Obama said on Thursday that he will focus his final-year legislative efforts on criminal justice reform, an expansion of a tax credit for the working poor, and a push to find medical research breakthroughs."
2016-01-14T00:00:00Z,Politics: Everything’s Relative,By GAIL COLLINS,"Here are rules for dealing with family members showing up in the presidential race, like when to give them a break and when to go for the jugular."
2016-01-14T00:00:00Z,Obama’s Final State of the Union Speech,By GAIL COLLINS,Readers mostly praise the president’s speech as hopeful and inclusive.
2016-01-13T17:49:54Z,"Hillary Clinton and Bernie Sanders Intensify Fight over Health, Guns and Costs",By MAGGIE HABERMAN and ALAN RAPPEPORT,
2016-01-13T08:55:28Z,Yes He Did,By PAUL KRUGMAN,
2016-01-13T04:03:43Z,Obama Stresses State of Union Themes in Nebraska,By THE ASSOCIATED PRESS,"Stressing themes from his State of the Union address, President Barack Obama on Wednesday urged the country to respond to economic and other societal changes with confidence instead of fear."
2016-01-13T00:00:13Z,"South Carolina's Haley Urges Tolerance, Civility in Republican Reply to Obama",By REUTERS,"South Carolina Governor Nikki Haley, in the Republican response to President Barack Obama's State of the Union address on Tuesday, seized the spotlight to set herself apart from her party's field of presidential candidates, calling for tolerance on immigration and civility in politics."
2016-01-13T00:00:00Z,The Republican Party’s 50-State Solution,By THOMAS B. EDSALL,"Conservative strategists understand that if you turn enough of the local map red, you can shrink the power of government just where you want it shrunk."
2016-01-12T20:31:38Z,South Carolina Governor Urges Tolerance for Immigrants in State of Union Response,By REUTERS,"South Carolina Governor Nikki Haley, giving the Republican response to President Barack Obama's State of the Union address on Tuesday, took a softer tone on immigration than the harsh rhetoric often heard from her party's presidential candidates."
2016-01-12T18:46:42Z,"Chelsea Clinton, Again Her Mother&#8217;s Surrogate, Takes Up the Fight Against Bernie Sanders",By NICK CORASANITI,
2016-01-12T12:20:58Z,"With Democratic Race Narrowing, Clinton Rips Into Sanders",By THE ASSOCIATED PRESS,"Facing a narrowing primary contest, Hillary Clinton ripped into rival Bernie Sanders on Tuesday, saying the Vermont senator was offering unrealistic policies and overstating his anti-establishment credentials."
2016-01-11T16:36:04Z,Louisiana Governor Pledges to Expand Medicaid in Inaugural Address,By REUTERS,"Louisiana Governor John Bel Edwards laid out his agenda during his inaugural address on Monday, pledging to expand Medicaid, enact education reforms, and find long-term solutions to the state's large budget deficit. "
2016-01-11T00:00:00Z,Governors Get Smarter on Medicaid,By THE EDITORIAL BOARD,Some leaders from both parties have seen the wisdom of not rejecting generous federal matching funds.
2016-01-11T00:00:00Z,The Obama Boom,By PAUL KRUGMAN,Dire warnings from Republicans about the effect of President Obama’s policies on employment have simply not come true.
2016-01-11T00:00:00Z,"In Final State of the Union Address, Obama Aims to Set Tone for ’16 Campaign",By PETER BAKER,Mr. Obama hopes to use his last address as president to frame the debate about who should replace him and where the country should go from here.
2016-01-10T00:00:00Z,"Hillary Clinton Ad Blasts Republicans, Saying Only She ‘Can Stop Them’",By NICK CORASANITI,"The ad offers Mrs. Clinton as the sole alternative to the Republican candidates, portraying her as a battle-hardened candidate who can take them on."
2016-01-09T00:00:00Z,Obama Vetoes Bill to Repeal Health Law and End Planned Parenthood Funding,By GARDINER HARRIS,Mr. Obama said the legislation would “reverse the significant progress we have made in improving health care in America.”
2016-01-08T15:56:06Z,Texas Governor Joins GOP Calls for Constitutional Convention,By THE ASSOCIATED PRESS,"Texas Gov. Greg Abbott sought to lure Republican support Friday for calling the first U.S. constitutional convention since 1787, a new a priority for his administration that has bemoaned federal courts blocking state laws over gay marriage, abortion restrictions and voting rights."
2016-01-08T12:19:54Z,Obama Vetoes Legislative Bid to Dismantle Signature Healthcare Law,By REUTERS,"U.S. President Barack Obama on Friday vetoed legislation passed by the Republican-controlled U.S. Congress that would have dismantled his signature healthcare law, the Affordable Care Act."
2016-01-08T12:04:30Z,Obama Vetoes Bill to Repeal Signature Health Care Law,By THE ASSOCIATED PRESS,"Protecting his signature domestic achievement, President Barack Obama on Friday vetoed Republican-inspired legislation to repeal his health care law, saying to do so ""would reverse the significant progress we have made in improving health care in America."""
2016-01-08T10:27:13Z,Rahm and His Party,By ROSS DOUTHAT,
2016-01-08T00:00:00Z,Obama Administration Optimistic About Health Plan Goal,By ROBERT PEAR,"The administration said 11.3 million people had signed up for health insurance so far in the third open enrollment period, citing &#8220;unprecedented demand for marketplace coverage.&#8221;"
2016-01-07T23:39:43Z,Ted Cruz&#8217;s Iowa Bus Tour: A Misfired One-Liner,By MATT FLEGENHEIMER,
2016-01-07T14:40:49Z,U.S. Says 11.3 Million Americans Have Signed Up for 2016 Obamacare Plans,By REUTERS,"About 11.3 million Americans have signed up so far for individual health insurance in 2016 through HealthCare.gov and the state-based exchanges, the U.S. government said on Thursday."
2016-01-07T03:17:51Z,US Seeks Strong Finish on Health Care Sign-Ups Amid Doubts,By THE ASSOCIATED PRESS,"Seeking a strong showing in President Barack Obama's last year in office, the administration said Thursday 11.3 million people have enrolled for health law coverage with three weeks still left in the sign-up season."
2016-01-07T00:00:00Z,House Votes to Send Bill to Repeal Health Law to Obama’s Desk,By JENNIFER STEINHAUER,"The House voted for the 62nd time to repeal the Affordable Care Act, in effect forcing a rare veto from the president to protect his signature domestic achievement."
2016-01-06T18:17:36Z,"Congress Sends Bill to Gut Obamacare, to Certain Veto",By REUTERS,"The U.S. Congress on Wednesday approved legislation dismantling President Barack Obama's signature health care plan, putting on his desk an election-year measure that faces a certain veto."
2016-01-06T15:19:37Z,Christie Under Attack as Rivals Sense Him Rising in NH,By THE ASSOCIATED PRESS,Chris Christie is the Republican presidential candidate to beat in second-to-vote New Hampshire &#8212; so say the super PACs helping the New Jersey governor's rivals.
2016-01-06T05:30:13Z,10 Things to Know for Thursday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Thursday:"
2016-01-06T03:21:24Z,Congress Sends Health Law Repeal to Obama for First Time,By THE ASSOCIATED PRESS,"The GOP-led Congress sent legislation to President Barack Obama Wednesday repealing his signature health law, fulfilling a promise to Republican voters in a presidential election year but inviting a certain veto."
2016-01-06T00:00:00Z,Group Backing Marco Rubio Unleashes Ads Attacking Chris Christie,By NICK CORASANITI,"In one ad, the political action committee accuses Mr. Christie, his emerging rival, for being a liberal who is too friendly with President Obama."
